alpha_neural,variant,seed,accuracy,balanced_accuracy,macro_f1_13,regional_macro_f1,weighted_f1,mcc,ece_15,brier,worst_present_dialect_f1,examples
0.35000000000000003,M0,2903,0.8734127759327994,0.7889470149068741,0.804240919629049,0.7941642220712546,0.8718538337351421,0.85395370667742,0.041507038388309825,0.18450146911873805,0.43283582089552236,10238.0
0.35000000000000003,M0,4307,0.8773197890212933,0.7895638421308022,0.8084962165932479,0.798578293580091,0.8755546452192815,0.8584204053660627,0.040779687948987814,0.18407563369844546,0.4122137404580153,10238.0
0.35000000000000003,M1,1701,0.8745848798593475,0.7944558535746562,0.8095382820561438,0.7999466133057299,0.8732971508762722,0.8553360984576499,0.04012754096216076,0.18392112510512923,0.4740740740740741,10238.0
0.35000000000000003,M1,2903,0.8741941785504982,0.788628372189277,0.8065573449242917,0.79664317905613,0.8728441790965937,0.8548695969245843,0.03903520945260766,0.1842093946400965,0.43478260869565216,10238.0
0.35000000000000003,M1,4307,0.8737058019144364,0.7911492039647684,0.8063822592554293,0.796643882771792,0.8724862168923934,0.8542932713597614,0.039059816702236676,0.18527240718687235,0.43661971830985913,10238.0
0.375,M0,1701,0.8734127759327994,0.79282710852919,0.8090949516264553,0.7994555085100351,0.872329140704369,0.8539688980514236,0.04277607277919157,0.18555541672343395,0.4864864864864865,10238.0
0.375,M0,2903,0.8742918538777105,0.789690026226448,0.8056990669341716,0.7955978928760205,0.8727093990499344,0.8549701084697892,0.043789526858472955,0.18396107677712828,0.4393939393939394,10238.0
0.375,M0,4307,0.8772221136940809,0.788425178974071,0.8076915141263096,0.7976847235651814,0.8753454224043978,0.8582931627316571,0.041006990281658315,0.18347982088381515,0.3969465648854962,10238.0
0.375,M1,1701,0.8753662824770463,0.7933197215165996,0.8098342402697061,0.8001898983720089,0.8739511166536116,0.85621394095435,0.04078614190505604,0.18333042338929734,0.46616541353383456,10238.0
0.375,M1,2903,0.8750732564954092,0.7896080387164122,0.8076159800142432,0.7977541605843782,0.8736888943431369,0.8558887839076639,0.040287087866240495,0.18366261114679078,0.43795620437956206,10238.0
