variant,true,predicted,rate
M2,NOA,RAJ,0.0
M2,NOA,RAN,0.011538461538461539
M2,NOA,STD,0.011538461538461539
M2,NOA,SYL,0.0038461538461538464
M2,NOA,TAN,0.023076923076923078
M2,NSD,BAR,0.015625
M2,NSD,CHI,0.017361111111111112
M2,NSD,KHU,0.010416666666666666
M2,NSD,KIS,0.13020833333333334
M2,NSD,MYM,0.006944444444444444
M2,NSD,NAR,0.029513888888888888
M2,NSD,NOA,0.005208333333333333
M2,NSD,NSD,0.6510416666666666
M2,NSD,RAJ,0.001736111111111111
M2,NSD,RAN,0.029513888888888888
M2,NSD,STD,0.019097222222222224
M2,NSD,SYL,0.027777777777777776
M2,NSD,TAN,0.05555555555555555
M2,RAJ,BAR,0.02197802197802198
M2,RAJ,CHI,0.01098901098901099
M2,RAJ,KHU,0.02197802197802198
M2,RAJ,KIS,0.01098901098901099
M2,RAJ,MYM,0.02197802197802198
M2,RAJ,NAR,0.054945054945054944
M2,RAJ,NOA,0.02197802197802198
M2,RAJ,NSD,0.0
M2,RAJ,RAJ,0.6813186813186813
M2,RAJ,RAN,0.04395604395604396
M2,RAJ,STD,0.06593406593406594
M2,RAJ,SYL,0.04395604395604396
M2,RAJ,TAN,0.0
M2,RAN,BAR,0.022058823529411766
M2,RAN,CHI,0.022058823529411766
M2,RAN,KHU,0.013235294117647059
M2,RAN,KIS,0.025
M2,RAN,MYM,0.004411764705882353
M2,RAN,NAR,0.051470588235294115
M2,RAN,NOA,0.0029411764705882353
M2,RAN,NSD,0.020588235294117647
M2,RAN,RAJ,0.0
M2,RAN,RAN,0.7455882352941177
M2,RAN,STD,0.04411764705882353
M2,RAN,SYL,0.022058823529411766
M2,RAN,TAN,0.026470588235294117
M2,STD,BAR,0.002221235006663705
M2,STD,CHI,0.011106175033318524
M2,STD,KHU,0.007552199022656597
M2,STD,KIS,0.004886717014660151
M2,STD,MYM,0.001776988005330964
M2,STD,NAR,0.024433585073300755
M2,STD,NOA,0.001776988005330964
M2,STD,NSD,0.0053309640159928924
M2,STD,RAJ,0.000888494002665482
M2,STD,RAN,0.006219458018658374
M2,STD,STD,0.9138160817414482
M2,STD,SYL,0.011994669035984007
M2,STD,TAN,0.007996446023989337
M2,SYL,BAR,0.0042643923240938165
M2,SYL,CHI,0.024164889836531627
M2,SYL,KHU,0.0
M2,SYL,KIS,0.00923951670220327
M2,SYL,MYM,0.007107320540156361
M2,SYL,NAR,0.0035536602700781805
M2,SYL,NOA,0.0035536602700781805
M2,SYL,NSD,0.008528784648187633
M2,SYL,RAJ,0.0
M2,SYL,RAN,0.006396588486140725
M2,SYL,STD,0.017768301350390904
M2,SYL,SYL,0.9118692253020612
M2,SYL,TAN,0.0035536602700781805
M2,TAN,BAR,0.007707129094412331
M2,TAN,CHI,0.019267822736030827
M2,TAN,KHU,0.005780346820809248
M2,TAN,KIS,0.06551059730250482
M2,TAN,MYM,0.015414258188824663
M2,TAN,NAR,0.08285163776493257
M2,TAN,NOA,0.009633911368015413
M2,TAN,NSD,0.036608863198458574
M2,TAN,RAJ,0.0
M2,TAN,RAN,0.04238921001926782
M2,TAN,STD,0.036608863198458574
