candidate_id,dialect,rows,tokens,characters,bytes,unk_tokens,tokens_per_character,tokens_per_byte,mean_fertility,p95_tokens,roundtrip_exact_rate,canonical_roundtrip_exact_rate
wordpiece_balanced_24k,NOA,265.0,1758.0,7717.0,20667.0,0.0,0.22780873396397563,0.0850631441428364,1.2220967502099578,11.0,0.8113207547169812,1.0
wordpiece_balanced_24k,NSD,576.0,4284.0,19520.0,52376.0,0.0,0.2194672131147541,0.08179318771956622,1.1982528632163112,17.0,1.0,1.0
wordpiece_balanced_24k,RAJ,91.0,593.0,2671.0,7227.0,0.0,0.22201422688131786,0.0820534108205341,1.234527712824416,12.5,1.0,1.0
wordpiece_balanced_24k,RAN,767.0,5228.0,22124.0,59010.0,0.0,0.23630446573856445,0.08859515336383664,1.2072239591189522,15.0,0.8904823989569752,1.0
wordpiece_balanced_24k,STD,126.0,784.0,3783.0,10159.0,0.0,0.20724292889241344,0.07717295009351315,1.0989271971414827,11.0,1.0,1.0
wordpiece_balanced_24k,SYL,1984.0,15185.0,61976.0,166836.0,0.0,0.24501419904479152,0.09101752619338752,1.4738894784899492,18.0,0.3941532258064516,0.9904233870967742
wordpiece_balanced_24k,TAN,519.0,3605.0,16576.0,44392.0,0.0,0.21748310810810811,0.08120832582447288,1.1341768896200497,15.0,1.0,1.0
wordpiece_balanced_32k,BAR,739.0,4429.0,21239.0,57032.0,1.0,0.20853147511653092,0.07765815682423903,1.1369036691770116,10.0,0.7388362652232747,0.9972936400541272
wordpiece_balanced_32k,CHI,3553.0,28773.0,124460.0,333974.0,0.0,0.23118270930419413,0.08615341313994503,1.2964430736762405,18.0,0.537573881227132,0.9946524064171123
wordpiece_balanced_32k,KHU,158.0,902.0,3841.0,10237.0,0.0,0.23483467846914866,0.08811175148969425,1.2029334940727345,9.150000000000006,0.569620253164557,1.0
wordpiece_balanced_32k,KIS,797.0,4828.0,21574.0,57984.0,0.0,0.2237878928339668,0.08326434878587197,1.1804021483957532,13.0,1.0,1.0
wordpiece_balanced_32k,MYM,333.0,2013.0,9921.0,26631.0,0.0,0.20290293317205926,0.07558859975216853,1.1058666892000226,10.0,0.8078078078078078,0.996996996996997
wordpiece_balanced_32k,NAR,945.0,6435.0,28545.0,76241.0,0.0,0.2254335260115607,0.08440340499206464,1.165901209026636,14.0,0.9259259259259259,1.0
wordpiece_balanced_32k,NOA,265.0,1733.0,7717.0,20667.0,0.0,0.2245691330828042,0.083853486234093,1.2019889334983676,11.0,0.8113207547169812,1.0
wordpiece_balanced_32k,NSD,576.0,4161.0,19520.0,52376.0,0.0,0.21316598360655736,0.07944478387047503,1.1616629406262176,17.0,1.0,1.0
wordpiece_balanced_32k,RAJ,91.0,575.0,2671.0,7227.0,0.0,0.21527517783601646,0.07956275079562751,1.1964774236752258,12.5,1.0,1.0
wordpiece_balanced_32k,RAN,767.0,5105.0,22124.0,59010.0,0.0,0.23074489242451637,0.08651076088798508,1.1772727381009518,15.0,0.8904823989569752,1.0
wordpiece_balanced_32k,STD,126.0,767.0,3783.0,10159.0,0.0,0.2027491408934708,0.07549955704301604,1.0699494949494948,10.75,1.0,1.0
wordpiece_balanced_32k,SYL,1984.0,14776.0,61976.0,166836.0,0.0,0.2384148702723635,0.08856601692680237,1.4335846390916587,17.0,0.3941532258064516,0.9904233870967742
wordpiece_balanced_32k,TAN,519.0,3522.0,16576.0,44392.0,0.0,0.21247586872586874,0.0793386195710939,1.109470920501749,15.0,1.0,1.0
unigram_balanced_16k,BAR,739.0,4869.0,21239.0,57032.0,1.0,0.2292480813597627,0.08537312386028896,1.2526519901689048,11.0,0.9986468200270636,0.9986468200270636
unigram_balanced_16k,CHI,3553.0,31782.0,124460.0,333974.0,0.0,0.2553591515346296,0.09516309652847228,1.42775619817044,20.0,1.0,1.0
unigram_balanced_16k,KHU,158.0,984.0,3841.0,10237.0,0.0,0.25618328560270764,0.09612191071603009,1.324075748442837,10.0,1.0,1.0
unigram_balanced_16k,KIS,797.0,5384.0,21574.0,57984.0,0.0,0.24955965514044684,0.09285320088300221,1.3178905591414563,15.0,1.0,1.0
unigram_balanced_16k,MYM,333.0,2172.0,9921.0,26631.0,0.0,0.21892954339280316,0.08155908527655739,1.1931275347942014,11.0,1.0,1.0
unigram_balanced_16k,NAR,945.0,7089.0,28545.0,76241.0,0.0,0.24834471886495008,0.09298146666491783,1.294191656474982,16.0,1.0,1.0
unigram_balanced_16k,NOA,265.0,1902.0,7717.0,20667.0,0.0,0.24646883503952313,0.09203077369719843,1.3235128812487302,12.0,1.0,1.0
unigram_balanced_16k,NSD,576.0,4666.0,19520.0,52376.0,0.0,0.23903688524590164,0.08908660455170307,1.3083556641390333,18.0,1.0,1.0
unigram_balanced_16k,RAJ,91.0,665.0,2671.0,7227.0,0.0,0.2489704230625234,0.0920160509201605,1.40120215559776,14.0,1.0,1.0
unigram_balanced_16k,RAN,767.0,5633.0,22124.0,59010.0,0.0,0.2546103778701862,0.09545839688188443,1.2989401926641,17.0,1.0,1.0
unigram_balanced_16k,STD,126.0,844.0,3783.0,10159.0,0.0,0.2231033571239757,0.08307904321291466,1.1711634485444007,12.0,1.0,1.0
unigram_balanced_16k,SYL,1984.0,15995.0,61976.0,166836.0,0.0,0.25808377436427005,0.09587259344505981,1.5556576952971257,19.0,1.0,1.0
unigram_balanced_16k,TAN,519.0,3893.0,16576.0,44392.0,0.0,0.23485762548262548,0.0876959812578843,1.2307101563604455,17.0,1.0,1.0
unigram_balanced_24k,BAR,739.0,4813.0,21239.0,57032.0,1.0,0.22661142238335139,0.0843912189647917,1.2391904855030702,11.0,0.9986468200270636,0.9986468200270636
unigram_balanced_24k,CHI,3553.0,30613.0,124460.0,333974.0,0.0,0.2459665756066206,0.09166282405217173,1.3751374832574126,19.0,1.0,1.0
unigram_balanced_24k,KHU,158.0,969.0,3841.0,10237.0,0.0,0.25227805259047126,0.09465663768682231,1.3040787623066104,10.0,1.0,1.0
unigram_balanced_24k,KIS,797.0,5241.0,21574.0,57984.0,0.0,0.2429313062019097,0.09038700331125828,1.2774971492332006,15.0,1.0,1.0
unigram_balanced_24k,MYM,333.0,2146.0,9921.0,26631.0,0.0,0.2163088398346941,0.08058277946753784,1.1794209710876378,11.0,1.0,1.0
